populasi,korban_selamat,jumlah_orang_sakit,persentase_infrastruktur_rusak,status_isolasi,urgency_score_label
8392,4709,1184,67.87,0,4.6105
7363,4684,644,38.26,0,3.1602
8416,5674,444,41.01,1,6.1269
9029,7313,592,53.27,0,4.397
1378,1066,100,22.41,0,2.3729
9768,6553,919,11.91,0,1.5815
5387,5244,442,48.46,1,7.9063
12685,10030,1759,55.89,0,4.7038
5359,3289,426,41.4,0,3.0615
6831,3749,1017,32.21,0,2.7434
9071,5201,1171,16.78,1,4.5303
9184,5676,359,31.04,1,5.1633
7708,4448,1081,80.94,0,5.5762
5776,3405,151,32.83,0,2.2318
2562,1631,318,32.6,0,2.9511
12576,7334,795,37.13,1,5.2915
564,524,74,30.87,0,3.7592
8506,4580,1118,68.35,1,7.4003
3068,2306,376,56.23,0,4.4427
5963,4156,719,26.55,1,5.2426
13940,13543,734,33.07,1,6.0887
2527,1399,53,35.86,0,2.371
3195,2207,212,39.97,0,2.8363
10187,9833,349,24.66,0,3.4699
5758,5271,617,26.21,0,3.5613
6118,5458,357,68.54,0,5.5062
7236,4513,1060,73.11,0,5.354
891,518,88,26.89,1,5.1378
14486,11892,1812,31.54,0,3.2294
13206,12494,377,52.89,0,4.7237
13166,10101,1720,9.93,0,1.7913
6392,4949,889,65.84,1,8.4449
4061,2576,317,24.17,0,1.9026
10970,9536,1040,49.81,0,4.5492
6684,3942,782,8.32,0,1.095
3599,2358,124,52.11,1,6.5432
6778,4773,544,50.11,1,7.1476
8892,6612,585,47.95,0,3.7723
14651,9030,446,19.28,0,1.6889
13567,7531,833,27.49,0,1.9401
3604,2858,70,42.31,0,3.7323
7715,4926,105,26.44,0,1.81
13290,10352,384,22.22,0,2.3932
2954,1695,427,65.43,0,4.5605
12337,9017,1072,5.44,0,0.7711
14539,10986,2111,69.81,1,8.2926
9496,4984,669,18.08,1,4.2856
14934,9879,801,46.34,0,3.443
3231,1823,261,45.4,1,5.737
14683,7788,1050,19.27,0,1.3554
11465,11180,284,26.94,1,6.3438
8654,5666,862,56.9,0,4.1585
10262,9120,412,33.61,0,3.5613
5556,3457,537,86.45,0,5.8866
8610,7121,869,23.5,1,5.8258
14273,12344,446,23.5,0,2.5813
11382,8945,211,16.9,0,2.1233
4340,3152,517,24.51,0,2.7197
1528,1066,113,36.85,1,5.7067
7885,5262,143,87.71,0,5.6789
1002,948,149,24.83,0,3.4328
7410,6659,134,5.65,0,1.5048
13185,12699,1414,29.27,0,3.6565
9562,5351,1412,36.84,1,5.8064
7438,6328,323,68.77,0,5.437
4988,4740,149,39.59,0,3.8827
706,414,19,28.58,0,1.7914
5634,2996,295,23.78,0,1.3904
6477,5542,156,51.45,1,7.4258
8221,6377,878,37.29,0,2.9559
7535,6812,141,50.71,1,7.2791
1984,1125,161,16.32,0,1.6339
8358,7369,1249,31.38,0,3.8985
1363,813,168,56.04,0,4.2511
3290,1903,316,11.09,0,0.7375
7908,4577,418,18.08,0,1.0955
9255,8246,900,34.06,0,3.8358
5616,4601,470,64.7,0,5.5023
12883,9676,897,72.98,1,8.0796
6519,4382,184,19.75,0,1.6095
2257,2078,302,54.01,1,8.2469
8074,5557,589,71.98,0,4.7716
6874,6131,256,55.12,1,7.747
7392,5254,454,39.92,0,2.6668
2178,1483,148,42.85,1,6.3352
3742,2702,470,22.62,0,2.3359
5136,3310,578,27.07,0,2.3367
1559,1338,183,32.23,0,3.725
7168,5313,82,31.27,0,2.6446
13971,8542,953,29.67,0,2.2283
10414,9703,805,16.99,1,5.9349
12006,8215,152,71.16,1,7.3177
3657,2782,169,36.39,0,3.1477
6415,5998,746,29.74,0,3.5907
11317,9049,330,13.0,0,1.9746
11421,6351,970,50.65,0,3.4701
10289,9786,412,23.18,0,3.189
11752,9416,137,26.3,0,2.8245
3193,2109,139,26.07,0,2.311
13583,7699,1991,52.53,1,6.7172
13839,12193,1691,44.76,0,4.4508
14431,11510,2082,7.97,0,2.1739
4127,3120,323,64.52,0,4.9368
10055,9341,255,48.63,0,4.5306
10673,9376,925,40.48,0,3.5732
5950,3408,437,21.09,1,4.9231
2163,1405,277,60.84,0,4.5302
10221,6329,242,37.82,0,2.2033
10730,9196,840,26.85,1,5.8573
6092,3144,188,13.7,0,0.3062
11994,9277,665,34.86,0,2.8978
10929,9464,1237,67.38,0,5.6565
7892,7267,604,28.96,1,6.7034
14196,9428,889,11.54,0,1.4191
14188,12686,925,28.56,0,3.3098
1806,998,134,27.23,0,1.6596
12721,11529,1525,38.88,0,4.0289
7276,4083,981,21.07,0,1.7043
11367,7851,1633,24.52,0,2.4705
13760,12145,1653,12.34,0,2.4609
6364,3639,344,46.77,0,2.9607
9974,6084,1060,23.66,0,1.9897
8026,6795,571,19.68,0,2.4485
9401,7949,429,60.4,0,4.8852
6075,4907,775,67.25,0,5.4563
6030,5023,92,46.75,0,3.5379
13436,10218,1830,70.31,1,8.5186
4913,3050,366,61.16,0,4.1368
4248,2828,421,34.7,1,5.5387
14045,8246,1436,16.66,1,4.3724
13471,12609,1822,28.08,0,3.8634
1163,907,115,23.23,0,2.4403
2498,1729,239,50.64,0,3.6786
8494,6130,164,32.01,1,5.4543
12137,11587,1002,8.23,0,2.5088
12435,7132,385,29.72,1,5.2132
14419,11266,1632,20.49,0,2.7084
1995,1481,163,36.74,0,3.4444
3804,3018,400,59.0,0,4.9317
4263,2168,67,13.4,0,0.4688
5732,5265,125,65.99,1,8.4442
2353,2229,259,39.01,0,4.2956
14308,11035,287,51.03,1,6.9163
7085,5911,141,23.91,0,2.3434
13351,12587,156,35.49,0,3.6936
1791,1503,257,65.5,1,8.5499
4081,2339,462,62.66,0,4.297
12149,9435,722,38.98,0,3.3715
8054,6372,414,31.04,0,2.882
7780,5473,458,43.92,1,6.4412
2136,1823,253,42.5,1,7.0665
4196,3979,430,70.92,0,5.8525
11691,11039,420,22.99,0,2.6184
11844,8485,407,22.73,0,2.103
1198,664,28,30.72,1,4.714
10852,10555,1111,17.14,0,2.7405
12789,11544,1496,47.54,0,4.6958
5237,2931,246,9.72,0,0.7232
14377,13543,185,74.45,1,8.7659
1354,1242,29,45.47,1,7.1442
8664,6489,1260,54.06,0,4.8539
6355,4981,326,7.8,0,1.7861
7892,5457,928,52.5,1,7.1233
7028,3698,684,45.12,0,2.9342
12166,8040,772,46.95,0,3.4542
14449,12792,560,34.9,0,3.5346
5749,2887,155,54.33,1,5.9576
5672,3743,545,20.37,0,2.0429
2207,1525,261,46.88,0,3.4976
11469,8692,1148,12.72,0,1.9781
6291,5923,529,14.35,0,2.7974
10425,6945,165,73.56,1,7.6426
6035,4022,878,22.06,1,5.3152
5431,4638,661,17.7,0,2.5229
4010,2875,204,65.13,1,7.3671
702,426,103,65.43,0,4.7547
11947,8568,1126,28.87,0,2.584
4718,2677,431,87.94,1,8.222
13188,7710,1513,25.64,0,1.8961
9458,6991,1169,62.57,0,4.7612
4889,3427,498,43.74,1,6.6896
2827,2654,78,28.13,0,3.2645
8504,5731,487,56.05,0,3.8104
3431,2671,480,12.06,0,2.0847
8277,6650,343,40.72,0,3.7669
697,352,43,32.4,0,2.1243
7625,6241,537,54.95,1,7.2878
2430,1422,173,40.96,1,5.9944
12274,11799,1175,47.56,1,7.743
6787,3877,963,53.6,0,4.0071
9300,6500,406,32.58,1,5.5501
11964,6472,323,43.85,1,5.7776
9839,9627,370,78.33,1,9.1309
4782,3543,641,42.5,1,6.7293
12089,9499,1213,32.3,0,3.4707
3011,1602,150,60.31,1,6.1229
10486,9017,1302,32.26,1,6.5856
1159,696,151,76.52,0,5.1854
3311,3082,425,68.04,1,9.1454
7598,4547,1053,28.35,0,2.6584
14743,8720,668,29.67,0,2.1824
7046,3646,815,57.71,1,6.7552
10061,7310,749,67.27,0,4.9457
2486,1917,317,61.4,1,7.9166
14322,7612,1603,37.18,0,2.6157
8838,7708,1049,39.61,0,4.3818
11911,8547,1213,34.9,0,2.9596
3411,2564,118,37.53,0,3.0027
2234,1589,192,26.68,0,2.5193
2343,1622,346,80.84,0,6.163
9180,7055,1296,52.45,0,4.5996
3476,1997,55,50.25,0,3.237
2459,1444,81,66.15,1,7.2779
6259,5718,178,9.83,0,2.1686
7194,6864,803,53.21,0,4.9769
2885,1959,359,68.23,1,8.3372
11611,7314,463,15.94,0,1.6298
5236,4236,423,66.17,0,5.2414
2302,1602,293,52.56,0,3.9351
8655,4432,974,41.35,0,2.4398
8620,4956,740,38.78,0,2.7618
7116,6003,659,19.8,0,2.5434
14757,12045,1197,7.05,0,1.4249
14986,7687,774,62.04,1,6.3192
6034,3659,537,17.47,0,1.4986
4561,2786,485,26.54,1,5.2252
12061,9920,1595,85.36,0,6.9473
14422,7347,1428,45.44,0,3.0076
762,419,88,47.43,0,3.1952
14575,12883,472,31.35,0,3.3017
6787,3975,506,65.39,0,4.329
9315,7576,105,12.44,1,4.8286
9708,5963,432,54.3,0,3.5726
12335,6756,1377,14.73,0,1.5136
13668,8429,2034,80.69,1,8.7834
2549,2158,60,49.91,1,7.1063
5923,5394,392,19.03,0,2.747
12415,11154,1514,38.59,0,4.3347
5048,3486,194,55.91,0,3.8061
3608,2961,316,28.29,0,2.7717
13971,8360,1573,30.65,0,2.1571
12782,8189,1230,64.8,0,4.4035
7658,7123,278,37.68,0,3.9327
10748,5441,642,66.0,0,3.8383
7900,4274,945,44.71,1,6.0917
3670,2201,321,55.3,0,3.6965
10374,5319,111,66.92,1,6.6203
2755,1617,321,71.61,0,4.6491
1654,1289,24,18.77,0,1.9646
4999,3510,571,54.6,1,7.2101
6795,6309,260,77.77,1,9.2139
6697,5976,965,60.32,0,5.5801
11883,7891,730,42.36,1,6.0719
10388,6487,579,65.81,0,4.0599
12683,8653,391,82.04,0,5.6324
13415,10508,708,53.97,0,4.2514
13374,8407,1775,57.2,1,7.2154
2148,1717,321,50.12,1,7.8519
6039,4206,371,12.61,0,1.7021
10137,7754,738,55.71,0,4.4853
4699,3333,522,15.68,0,1.9994
12615,8090,1691,54.61,0,4.1444
8945,8544,832,11.25,0,2.6653
11875,10290,769,17.62,0,2.5862
3057,1734,207,33.5,0,2.617
6092,5585,654,29.61,0,4.1104
598,438,6,63.06,1,7.4082
2700,2509,261,43.44,1,6.9692
14672,12969,876,20.35,0,2.5236
3461,2436,419,26.61,0,3.0308
14707,7512,338,43.68,0,2.5804
5473,3442,505,38.76,1,5.9952
4933,3749,381,49.07,0,3.9742
12469,10025,1245,55.22,1,7.3776
3369,2101,64,65.71,0,4.4972
11926,6760,1087,51.22,0,3.2791
12483,11244,1106,38.2,0,4.119
1456,1415,128,28.94,0,3.4482
14492,10902,1369,76.37,1,8.5897
12759,7430,1335,43.51,0,3.3088
8852,5583,1086,49.74,0,3.7118
6199,3154,296,31.28,0,1.7472
7444,6988,934,30.19,0,3.8352
4993,2778,398,20.7,0,1.276
9992,7761,207,40.06,1,5.9178
5411,3417,98,26.36,1,4.9636
4487,3437,254,29.79,0,2.7059
10219,8304,1225,60.22,0,5.2231
6515,5852,710,13.5,0,2.8257
14203,8508,1710,23.05,0,2.283
13946,7046,1149,49.52,0,2.7354
1718,971,123,50.58,0,3.1632
4996,4656,153,68.88,0,5.7325
5235,4813,292,8.0,0,2.2103
11796,9280,834,65.04,1,8.4242
11427,9007,256,19.03,1,4.8495
5055,4141,206,33.71,0,3.3827
9646,5634,904,12.18,0,1.2871
8550,8027,966,3.05,0,1.8439
13257,9293,1985,66.32,1,8.0001
3946,2698,554,20.82,0,2.3991
1545,1157,154,55.29,1,7.0621
7393,3863,509,28.13,0,1.3829
2193,1271,217,70.27,0,4.3093
14873,12705,1784,31.27,0,3.5877
3936,2124,104,34.93,0,1.9566
9254,7306,623,23.41,0,2.4352
11177,6904,1425,18.32,0,1.7603
6395,4392,407,60.08,0,4.0219
3854,2461,347,38.91,0,2.9008
14862,9968,1371,5.18,0,0.7753
725,612,25,72.36,0,5.7393
5393,3465,327,46.29,0,3.6314
7522,5806,427,20.49,0,1.8048
9651,7030,131,11.75,0,1.2699
6100,4993,81,20.22,0,2.1373
13240,12573,1674,43.58,1,7.5944
11759,10014,567,63.07,0,5.2504
8496,5124,701,33.11,0,2.3791
9507,4895,492,92.0,0,5.4363
13446,8415,1905,29.66,0,3.2353
8183,6428,378,37.39,1,6.1987
5142,2697,360,16.0,0,1.436
14003,10337,1850,36.18,1,6.4848
11812,9289,1510,61.12,0,4.9639
8179,5401,294,78.68,0,5.0196
8708,7576,1065,57.21,1,8.099
7839,4320,581,8.1,0,0.5238
9935,5325,771,16.09,1,3.962
2705,2297,77,8.58,0,1.6409
11216,8275,238,20.01,0,1.9832
1569,1302,175,23.3,0,3.2876
3944,2795,313,22.28,0,2.1357
11257,6959,801,50.61,0,3.6002
14934,13338,1674,15.44,0,2.3944
14556,12863,1705,51.27,0,5.0304
1560,1300,50,56.18,1,7.111
2827,1782,269,31.39,1,5.6527
3920,3070,113,67.37,0,4.926
801,539,92,57.15,0,4.3032
12968,7054,1322,23.3,0,1.6944
1106,1039,159,45.58,0,4.5794
3670,2076,72,29.8,0,1.5718
1199,1146,21,56.77,1,8.0612
5588,3990,276,53.11,1,6.8863
9831,5789,458,48.2,0,3.0694
690,524,30,12.65,0,1.7725
10992,10101,1504,25.26,0,3.5394
1480,1260,66,23.26,1,5.4804
3475,3082,167,7.16,0,2.3706
6602,5388,767,14.82,0,2.5411
1684,1401,122,17.37,1,5.3742
3827,3473,454,31.2,0,3.6347
3894,2413,74,54.47,1,6.6305
8819,6481,690,25.59,0,2.3696
10757,6520,158,34.46,1,5.0131
2316,2255,43,29.44,0,3.7334
6354,6056,869,35.86,0,4.2866
7209,3740,212,36.64,0,1.9353
1069,896,90,65.17,0,5.3026
5942,5609,401,30.72,1,6.7232
2395,1405,140,63.94,0,4.2329
3233,2497,439,37.99,0,3.8812
4363,4098,56,35.28,1,6.2912
13413,6925,1380,81.28,1,8.2208
7955,6640,1152,66.09,1,8.562
4514,2901,399,6.82,0,1.119
11593,10940,1636,44.46,0,5.0117
2186,2111,37,16.22,0,2.717
3509,3344,240,41.82,0,4.3648
8306,6043,385,21.75,0,1.7207
654,597,73,43.0,0,4.4112
11229,10166,1654,80.54,0,6.6313
1909,1246,87,51.18,0,3.6931
12749,11447,1295,28.73,0,3.6632
1284,664,48,28.87,0,1.5996
11867,9329,1057,65.37,1,7.9571
8596,5247,644,51.43,0,3.8523
8060,4496,1177,68.44,0,4.5756
13033,6997,1240,50.47,0,3.0632
7843,6542,462,39.88,0,3.5015
7706,5110,200,55.5,0,3.6434
6096,5168,190,82.17,0,5.9135
6301,3348,261,39.08,0,2.5053
3306,2153,149,26.78,0,1.6688
1037,787,133,26.14,0,2.7245
6486,5704,574,51.53,0,4.6695
2341,1528,194,30.73,0,2.569
13708,10972,357,34.73,0,3.3998
11147,10313,1453,66.59,1,9.2168
9216,7332,1024,18.76,0,2.2066
7471,4570,145,38.39,0,2.1301
6125,3134,668,66.3,1,7.1651
3450,3165,297,46.23,1,7.3269
8492,4332,182,42.26,0,2.1096
12823,11795,950,54.31,0,4.9347
5280,3980,411,41.94,0,3.6095
12807,12176,425,33.3,0,3.4441
2868,2533,408,7.45,0,2.2293
12539,12275,1617,55.29,0,5.3426
7155,4781,741,12.68,0,1.5423
8673,7530,648,55.1,1,7.8409
4995,3461,337,7.17,0,1.0046
11393,8320,1152,22.31,0,2.2991
9663,7742,834,47.26,1,6.9849
6502,5977,121,34.96,1,6.4668
7114,6917,581,30.34,1,6.7692
9858,8564,1211,83.17,0,7.0792
13903,9739,1032,60.12,0,4.5239
13621,9565,235,8.0,0,1.173
6419,5482,770,69.81,0,5.762
11466,7047,437,49.39,0,3.067
10674,5903,493,26.99,0,1.6287
1353,906,44,55.01,0,3.6418
4646,2963,261,37.03,1,5.7433
12428,7981,1440,59.79,0,4.0415
4269,2613,353,19.35,0,1.8105
1074,558,41,25.55,0,1.4531
11953,6079,1588,15.91,0,1.474
1648,1605,219,23.97,0,3.4978
6793,4791,895,26.19,0,2.5296
6957,4761,302,46.61,0,3.3167
8009,6617,586,21.76,0,2.5484
10407,6293,1539,37.36,0,3.2096
5277,5044,623,62.04,0,5.9042
13625,11955,188,50.97,0,4.6453
4354,2363,83,32.13,0,1.7648
13865,9711,1039,2.5,0,0.3476
2991,2757,410,38.81,0,4.2523
11352,10823,969,30.59,0,3.7623
3624,2625,288,16.78,0,2.1092
6191,4918,153,41.12,0,3.4736
3551,2060,362,61.56,1,7.0169
504,491,63,22.53,1,6.8118
5722,3497,361,54.67,0,3.4781
5815,5538,689,33.21,0,3.9768
5369,4358,778,43.69,0,4.0134
1376,1089,53,60.93,0,4.6453
9683,7224,806,2.24,1,4.4823
7527,4596,377,17.26,0,1.3759
4642,2714,561,5.88,0,0.9506
7466,4523,678,16.84,0,1.2263
7579,4467,749,44.67,0,3.1243
8487,7419,1032,90.76,0,7.3675
7299,4876,477,33.46,1,5.5702
13056,6890,1803,65.88,0,4.3227
4965,4792,420,43.26,1,7.6828
1135,1048,36,34.96,0,3.5307
13917,13156,1495,70.79,0,6.4253
2193,2143,265,64.65,0,5.7462
10374,6052,563,17.87,0,1.4866
5252,3624,682,71.06,0,5.6153
8811,7612,1205,0.87,0,2.0588
1330,1109,64,31.66,0,2.7573
14598,8377,2156,38.9,0,2.8934
12367,11026,367,32.18,0,3.2451
5677,3450,217,38.95,0,2.8153
14762,8966,528,24.86,0,1.5073
10061,7623,1359,36.16,1,6.2752
9432,7400,958,60.29,1,7.5273
8808,6856,275,45.73,0,3.4926
6449,3507,462,79.93,0,4.7054
3338,3074,320,41.26,0,4.5864
1650,1035,35,35.58,0,2.2827
8060,4531,1076,89.03,1,8.9598
2431,2252,297,63.31,0,5.7299
9704,9303,783,52.07,1,7.9418
2164,1977,314,9.67,0,2.5008
1581,1404,108,74.46,1,9.0773
13421,10931,1983,58.52,0,5.1585
1012,773,104,19.46,0,2.4164
11541,6252,1140,48.22,0,3.0857
13907,9680,462,19.15,0,1.6844
8305,5638,1108,69.55,0,5.2911
5737,3583,400,69.44,0,4.6859
1059,897,34,68.96,0,5.3282
4172,3079,49,28.97,1,5.2171
13275,7153,1173,62.68,0,4.3781
7904,4787,662,12.18,0,1.1551
13684,11329,1514,39.4,1,6.818
3843,2061,517,32.88,1,5.3699
14000,12720,295,29.09,0,3.5199
4570,3371,513,16.38,0,2.1014
13491,9857,488,41.6,0,3.172
10162,7970,1322,19.48,0,2.6371
1080,967,134,29.47,1,6.4323
7504,5004,643,53.94,1,6.9479
10986,9068,1202,38.68,0,4.2766
8630,6658,466,31.71,1,5.9269
3647,2290,277,20.99,0,1.8718
4749,4377,593,49.41,0,4.7577
2179,1923,161,51.69,1,7.9217
4006,3269,240,25.38,0,3.1241
13784,12519,1091,31.59,1,6.6917
7753,7104,976,41.7,0,4.556
3244,2725,184,18.43,1,5.3199
12048,10864,413,44.94,0,4.1871
12737,10632,1397,17.82,0,2.4493
9935,8210,1248,21.63,0,2.6628
5688,4532,137,1.32,0,0.7737
11810,10172,514,20.24,1,5.573
13796,7948,412,7.87,0,0.3412
2641,2437,155,26.31,0,3.1131
14561,13374,1063,25.71,0,3.2177
13745,7065,1578,8.73,0,1.0336
11751,10533,1188,34.47,0,3.685
13240,7438,1283,73.08,1,7.9181
14015,9261,831,82.96,1,8.673
11651,9983,1489,8.8,0,2.0458
10957,6323,832,46.35,0,3.3401
7117,6352,1046,48.22,1,7.7233
2979,2679,294,53.46,0,4.8232
6984,5193,193,29.54,0,2.4881
13338,6709,1396,51.45,1,6.2256
10327,6586,573,56.25,0,3.7608
14100,11225,1495,78.86,1,8.8436
7921,7691,156,44.15,0,4.1162
10449,8393,360,6.77,0,1.4931
4952,3093,642,32.34,0,2.7108
10762,8656,449,44.33,0,3.8305
6381,4844,811,27.71,0,2.9968
7165,6264,351,54.39,0,4.6481
14569,8032,1456,14.32,1,4.3149
3349,2897,358,81.22,0,6.7479
11943,9074,976,30.56,0,3.2215
7890,7592,416,14.91,0,2.9279
7405,4917,294,19.46,0,1.8646
12422,9983,181,70.8,1,8.5227
2989,2831,157,20.34,0,3.0106
10323,5669,1047,46.53,1,6.1656
11508,10931,1626,74.95,1,10.0
9707,8058,1281,18.59,0,2.2138
10040,5346,1177,69.46,0,4.4708
5111,3293,615,57.44,0,4.5051
11779,9893,1214,7.23,0,2.1686
3339,1777,155,54.55,1,6.7434
9027,7036,1236,66.0,0,5.4001
6378,4247,662,6.08,1,4.0966
13284,10601,1175,35.86,0,3.3658
9587,5003,244,39.32,0,2.2995
6803,6247,493,28.53,0,3.7127
12238,11837,911,28.35,0,3.9072
1351,1303,177,12.92,1,5.886
2187,1880,189,46.11,0,4.32
10623,5974,671,1.26,0,0.2114
7333,6335,1076,38.78,1,7.0071
12438,6365,317,32.66,0,2.0095
2927,1494,202,33.23,0,2.362
10260,6723,162,52.91,0,3.3812
4500,3305,511,35.28,1,6.2743
5552,4829,769,43.53,0,4.3663
3238,2681,159,33.0,1,6.3129
12190,8704,1586,25.98,0,2.6446
6232,3934,317,36.09,0,2.2226
5887,5761,809,67.08,1,9.3844
8502,5990,982,48.73,1,6.8535
6036,4325,740,2.4,0,1.2605
13979,8087,175,49.46,0,3.0818
4413,3890,638,53.69,1,8.1169
1566,1304,174,6.39,1,4.9833
8223,4982,433,56.02,0,3.3682
4880,2632,615,39.51,0,2.9221
11136,9205,550,82.12,1,8.6667
4607,3750,608,19.66,1,5.8587
6226,3929,160,46.95,1,6.2964
3873,3704,420,28.11,1,6.3823
12661,7248,1085,70.85,1,7.6185
11238,7951,264,34.34,0,2.8728
9445,9000,414,74.63,1,8.982
2582,1811,30,11.77,0,1.3801
11466,9247,867,41.23,1,6.1262
11588,8005,604,47.78,0,3.7508
12877,8133,1207,55.0,0,3.9388
9467,9204,488,71.17,0,5.973
7248,5048,376,44.14,0,3.5342
10317,9586,1176,9.04,0,2.8289
11761,7178,196,23.37,0,1.6949
917,552,125,14.12,0,1.9259
8806,4534,1138,80.96,0,4.8765
9308,7565,963,41.24,0,4.0125
4474,3028,416,29.64,0,2.5819
3767,3446,508,46.6,0,4.5998
1325,963,47,51.09,0,3.4098
8168,7879,171,41.84,1,7.1858
6245,3678,271,50.19,1,6.3613
10208,9360,1237,59.77,0,5.7394
11838,10331,175,18.72,0,2.581
912,793,83,42.51,0,3.9667
8043,7282,1201,46.17,1,7.9747
8087,6997,1049,61.96,0,5.7178
1228,983,101,61.64,0,4.8834
12040,6778,227,25.34,0,1.5453
7664,3951,968,12.07,0,0.9134
11500,10833,1079,36.95,0,4.3815
9367,7456,244,49.43,0,3.6201
12157,10726,281,68.97,0,5.5046
6488,4743,891,17.01,1,5.1322
3004,1671,311,8.77,0,0.7324
3467,1941,437,19.32,0,1.3302
3286,2724,437,8.36,0,2.1042
1622,1146,146,48.26,0,3.5622
4579,2730,377,44.69,0,3.1387
2071,1524,145,54.43,1,7.4985
5573,2958,303,19.55,1,4.2412
5604,4367,397,58.93,1,7.9846
2643,1662,312,21.87,0,1.8893
10379,9162,978,47.45,0,4.2265
7306,4741,985,84.32,1,8.6912
7857,5645,566,19.86,0,2.0779
12824,6483,1218,23.73,0,2.1299
12543,6707,1234,21.34,0,1.2561
3940,2712,365,26.2,0,2.5704
4266,3115,462,23.29,1,5.3368
6144,4841,265,28.3,1,5.6334
11018,7051,900,32.96,1,5.3117
3414,2845,83,51.16,1,7.2886
5468,4991,349,62.58,1,8.2898
6417,5610,502,50.93,0,4.7867
14084,7309,1426,38.41,0,2.5796
12644,9238,1809,7.34,0,1.3677
14897,8198,1401,81.04,1,8.3262
9287,5722,1059,41.57,0,2.7811
14691,14303,1188,39.59,0,3.9379
